ASX Code,Splits,Year
AAU,0.2,2020
ACB,0.1,2024
ACB,0.08,2020
ACR,0.33,2021
ACR,0.25,2015
ADV,20,2014
AEI,0.05,2022
AGE,0.03,2024
AIV,9.3,2020
AIV,0.81,2020
AIV,0.97,2019
AJX,1.04,2020
ALK,2,2014
ALT,0.03,2018
AMC,0.1,2023
AMC,1.13,2023
APD,1.08,2016
ARC,10,2014
ASH,2.04,2017
AXL,0.12,2018
AXL,0.03,2014
BAF,0.9,2021
BAR,10,2019
BHP,1.12,2022
BIS,0.25,2020
BIS,0.2,2014
BKT,0.33,2022
BNR,0.33,2014
BRO,2,2018
BSE,0.99,2021
BTI,2,2017
BUD,0.1,2015
BWX,2,2016
CGA,0.08,2019
CGC,0.1,2023
CHK,0.01,2020
CHK,1.06,2014
CHR,0.1,2023
CIM,0.2,2015
CNQ,1.02,2022
CNX,1.2,2017
COE,0.25,2022
COO,4,2024
CSR,0.1,2018
CTO,1.23,2020
CYA,0.05,2024
DDR,1.21,2018
DDR,0.5,2018
DHR,1.13,2023
DHR,1.32,2016
DIG,0.1,2020
DRUG,0.2,2023
DXF,0.1,2023
DXF,0.33,2017
DXF,0.25,2014
EAR,0.05,2023
EDC,0.25,2016
EGO,0.2,2018
ELD,10,2014
ELD,20,2014
ELS,2,2019
EPD,2,2014
EQT,1.84,2018
EQX,0.2,2019
ERX,0.1,2020
EXC,1.4,2022
FCG,0.2,2016
FET,0.05,2020
GEG,0.08,2016
GGG,3,2017
GHC,1.66,2015
GME,4,2022
GSL,0.13,2019
GSS,0.2,2018
GTE,0.1,2023
HPR,0.02,2020
HRL,2,2016
HTA,0.5,2014
IAM,0.13,2020
IAU,0.5,2021
IBN,1.1,2017
IBN,5,2014
IJH,5,2024
IJR,2,2017
INM,0.03,2020
IOO,2,2018
IVR,0.1,2022
IXJ,2,2018
JCI,0.96,2016
JCS,0.25,2022
JHG,0.47,2017
JHX,5,2015
JKL,50,2015
KAR,2.64,2019
KLR,0.29,2023
LFC,3,2015
LIT,0.5,2015
LPI,0.05,2020
MAS,1.14,2015
MDC,1.08,2021
MDC,1.08,2019
MDC,1.08,2017
MDC,1.05,2016
MLI,2,2023
MTC,0.1,2022
MTL,0.5,2016
MYO,0.03,2020
MZZ,0.5,2021
NGE,0.25,2017
NMM,0.07,2019
NVO,2,2023
ONE,0.04,2022
OPT,0.63,2020
PAK,0.25,2020
PGY,0.08,2024
PLG,0.1,2018
PLG,0.1,2016
PLUS,2,2021
PLUS,2,2017
PNR,1.49,2018
PPG,2,2015
PPL,1.07,2015
PSI,3,2023
PSP,0.2,2023
PSQ,0.2,2024
PSQ,0.25,2014
PXS,0.25,2022
REG,0.19,2014
RENT,0.05,2024
REX,3,2022
RFG,5,2023
RGS,0.05,2023
RPG,5,2023
RXL,2,2021
RXL,2,2015
SAM,0.25,2015
SAN,1.06,2020
SCO,2,2017
SCU,0.1,2019
SGC,2,2015
SGH,2,2022
SHM,0.5,2016
SKF,0.5,2021
SKF,0.25,2014
SMLL,4,2015
SMLL,0.33,2014
SMN,0.5,2018
SMX,0.05,2023
SOL,0.2,2017
SPB,0.16,2018
SPI,0.1,2018
SPI,0.1,2017
SRS,0.25,2015
SSG,0.2,2024
SSG,0.25,2020
SSG,0.5,2019
SSG,0.5,2018
SSG,0.2,2014
SSO,2,2020
SSO,2,2015
SUM,1.02,2022
SUM,1.01,2017
SUM,1.01,2016
SUM,1.01,2015
TECH,4,2022
TGS,1.04,2019
TIL,0.05,2023
TMX,1.49,2018
TNK,0.13,2019
TNP,0.2,2020
TRS,1.26,2015
TTC,2,2016
UMAX,0.01,2018
USD,3,2018
USD,2,2017
VAL,0.25,2019
VAR,1.14,2017
VIA,0.2,2023
VRM,0.01,2024
WCN,1.5,2017
WCN,0.48,2016
WES,1.11,2014
WLL,0.25,2017
WMC,0.1,2022
WOR,1.62,2023
WPG,0.11,2020
ABR,3.5,2020
ABR,0.17,2018
CAG,1.29,2016
CORE,2,2016
EINC,0.33,2020
EINC,0.2,2016
JAN,0.2,2019
NEW,0.1,2022
PKD,0.02,2020
PKD,0.07,2018
PLX,0.1,2019
SIL,0.33,2015
STN,2,2014
TTM,1.01,2015
TTT,0.25,2020
AFL,2,2018
BLU,0.28,2019
CURE,4,2015
ECT,0.1,2019
ECT,0.1,2015
GRNV,0.02,2023
HYD,0.5,2018
MMM,1.2,2024
PGX,0.1,2020
STG,0.08,2021
ADS,1.25,2021
AHC,10,2015
AHI,0.25,2023
AIM,0.02,2019
AIM,0.08,2016
APH,2,2021
APH,2,2014
ARR,0.2,2023
ARR,0.13,2015
CDR,0.15,2020
CSX,3,2021
ICE,5,2016
POL,0.02,2023
PRN,0.1,2019
REE,0.03,2023
SRL,1.08,2021
SRL,1.09,2021
SRL,25,2019
SRL,0.2,2017
TRN,1.39,2018
MHH,2,2018
ATEC,0.08,2016
ALV,1.39,2018
APM,0.1,2023
ATV,0.15,2015
BDX,1.03,2022
EDU,0.1,2022
EDU,10,2021
HLF,2,2018
ITM,0.5,2018
KAL,0.01,2022
NRZ,0.5,2014
PFE,1.05,2020
RAD,0.05,2019
REM,0.25,2016
SLS,0.02,2019
SLS,0.03,2018
SLS,0.05,2016
SNX,2,2020
TLC,1.01,2020
WRK,1.11,2016
DXC,1.16,2018
DXC,1.74,2015
GAME,0.25,2023
HGEN,0.2,2020
HGEN,0.13,2015
URNM,2,2022
AUG,0.68,2020
DES,3,2017
MGA,2,2015
OCN,0.07,2020
TAL,6,2017
USHY,1.2,2019
USIG,2,2018
XMET,0.01,2021
AKA,0.08,2023
CBX,0.02,2015
CFX,0.33,2022
DTE,1.18,2021
DUO,0.07,2023
DUO,0.07,2022
FAS,4,2015
IRM,1.08,2014
MDV,1.08,2024
MMX,0.5,2019
MMX,0.5,2016
MMX,0.1,2015
MTA,0.25,2019
MTA,0.33,2016
MUX,0.1,2022
MYT,0.07,2022
MYT,0.1,2020
MYT,0.1,2020
NSP,2,2017
OGI,0.25,2023
OGI,67,2015
PHG,1.04,2023
PHG,1.02,2020
ROL,1.5,2020
ROL,1.5,2018
ROL,1.5,2015
SLE,0.05,2023
TDI,10,2014
STAR,0.16,2023
STAR,1.28,2022
